price,accommodates,bedrooms,beds,room_type,property_type,latitude,longitude,availability_365,minimum_nights,maximum_nights,number_of_reviews,bathrooms
94.0,2,1.0,1.0,Private room,Private room in condo,51.51899304840444,-0.140969258506294,250,1,365,1,1.0
163.0,3,1.0,1.0,Entire home/apt,Entire rental unit,51.51706,-0.14177,109,1,365,7,1.0
107.0,4,2.0,2.0,Entire home/apt,Entire rental unit,51.51541598857183,-0.2925934642553329,43,5,50,0,1.0
276.0,4,1.0,1.0,Entire home/apt,Entire rental unit,51.5157796273745,-0.1797296769877902,39,3,90,0,1.0
95.0,2,1.0,1.0,Entire home/apt,Entire loft,51.45329,-0.30819,363,100,600,46,1.0
247.0,7,3.0,5.0,Entire home/apt,Entire rental unit,51.50142050437383,-0.1131666409876449,328,3,365,0,2.0
230.0,5,2.0,3.0,Entire home/apt,Entire rental unit,51.54606,-0.11857,285,1,365,20,1.0
760.0,1,0.0,1.0,Private room,Private room in home,51.60828,0.14107,178,28,365,0,1.0
309.0,10,5.0,6.0,Entire home/apt,Entire home,51.57482803707915,-0.1103714004923241,42,7,365,0,3.5
197.0,6,2.0,3.0,Entire home/apt,Entire rental unit,51.47413,-0.14796,130,1,365,0,1.0
301.0,6,3.0,3.0,Entire home/apt,Entire home,51.46447,-0.32909,305,1,365,17,1.0
162.0,1,1.0,1.0,Private room,Private room in townhouse,51.49365,-0.13304,364,1,1125,99,1.0
147.0,3,3.0,3.0,Entire home/apt,Entire home,51.42943,-0.08915,282,1,365,15,1.0
54.0,2,1.0,1.0,Private room,Private room in condo,51.47895707420465,-0.0890723174649957,232,3,28,20,1.0
291.0,2,1.0,1.0,Entire home/apt,Entire condo,51.5196151,-0.1608137,330,1,1125,43,1.0
475.0,7,2.0,4.0,Entire home/apt,Entire rental unit,51.5219444,-0.113878,364,7,365,2,1.0
122.0,3,1.0,2.0,Entire home/apt,Entire condo,51.45959,-0.01022,341,2,365,51,1.0
201.0,6,2.0,4.0,Entire home/apt,Entire home,51.45106,-0.18802,18,4,365,0,3.0
724.0,6,2.0,3.0,Entire home/apt,Entire rental unit,51.51051525345795,-0.1252261468330375,157,1,365,1,2.0
147.0,4,1.0,0.0,Entire home/apt,Entire rental unit,51.54351969907,-0.1496494426936955,336,3,365,5,1.0
